date,zone,ndvi,ndvi_seasonal_dev,fire_count,anomaly_score,risk_score,risk_level
2020-01-27,western_ghats,0.16993161797324172,-0.12504062407680486,125,-0.6663741827748283,61.7,HIGH
2020-02-10,western_ghats,0.3630324234313759,0.015248129389815623,125,-0.49539750047005526,27.5,MODERATE
2020-02-17,western_ghats,0.3443688444141715,-0.003415449627388767,125,-0.43855921312762725,27.7,MODERATE
2020-03-23,western_ghats,0.4427578995371677,0.16081794559229146,125,-0.5010959604888706,21.3,LOW
2020-03-30,western_ghats,0.24050003830691885,-0.0414399156379574,125,-0.4760933207422972,41.7,MODERATE
2020-04-06,western_ghats,0.1837517606886827,-0.07981693294453834,125,-0.4542820581815798,49.9,MODERATE
2020-04-27,western_ghats,0.557893879581203,0.2943251859479819,125,-0.608081090613754,19.9,LOW
2020-05-25,western_ghats,0.4739576453574988,0.13758132140385232,125,-0.5201655599240614,19.4,LOW
2020-12-14,western_ghats,0.45208309767791083,0.05988091326563422,125,-0.5208108665382514,21.1,LOW
2021-01-11,western_ghats,0.3607387572970593,0.06576651524701271,125,-0.4697890385343004,26.9,MODERATE
2021-01-25,western_ghats,0.4931224647715007,0.1981502227214541,125,-0.5210768128104692,17.8,LOW
2021-02-01,western_ghats,0.29939316110042247,-0.04839113294113778,125,-0.4816171615985916,38.0,MODERATE
2021-02-08,western_ghats,0.44078876564084696,0.09300447159928671,125,-0.5064965608674743,21.6,LOW
2021-02-15,western_ghats,0.4617336780686048,0.11394938402704458,125,-0.49769609441425555,19.7,LOW
2021-02-22,western_ghats,0.671097773558595,0.32331347951703476,125,-0.619012824005364,20.2,LOW
2021-03-01,western_ghats,0.1559376361908372,-0.12600231775403906,125,-0.5718397604231957,58.9,HIGH
2021-03-08,western_ghats,0.547820321747438,0.26588036780256175,125,-0.5733340648330094,18.9,LOW
2021-03-22,western_ghats,0.1995660777241575,-0.08237387622071876,125,-0.528797275007381,51.5,HIGH
2021-05-24,western_ghats,0.338940644568861,0.002564320615214555,125,-0.478625419752667,28.9,MODERATE
2021-12-13,western_ghats,0.4219406026173236,0.029738418205046968,125,-0.504144341755786,23.0,LOW
2021-12-20,western_ghats,0.3891142739564376,-0.0030879104558390047,125,-0.4979309413578558,25.8,MODERATE
