date,zone,ndvi,ndvi_seasonal_dev,fire_count,anomaly_score,risk_score,risk_level
2020-01-06,northeast,0.6417333999059679,0.18491077977304832,1934,-0.629853754338486,38.9,MODERATE
2020-01-13,northeast,0.48416455869108566,0.02734193855816608,1934,-0.5220026022049474,36.9,MODERATE
2020-01-20,northeast,0.6966219740186815,0.23979935388576196,1934,-0.5629140634245697,36.9,MODERATE
2020-01-27,northeast,0.35613075864083704,-0.10069186149208254,1934,-0.5219980371064389,59.3,HIGH
2020-02-03,northeast,0.26732488145865874,-0.06368783442716786,1934,-0.45275578796409044,59.8,HIGH
2020-02-17,northeast,0.5384350844844624,0.20742236859863583,1934,-0.4842649902150555,34.5,MODERATE
2020-02-24,northeast,0.4130323088764626,0.08201959299063599,1934,-0.46455365441442265,40.9,MODERATE
2020-03-23,northeast,0.5768167055147304,0.2169384911669111,1934,-0.4668061343419281,34.0,MODERATE
2020-03-30,northeast,0.5558376936404695,0.19595947929265023,1934,-0.469745785039764,34.1,MODERATE
2020-04-13,northeast,0.22724655360071508,-0.10698085047859049,1934,-0.47483408156006024,68.9,HIGH
2020-05-04,northeast,0.6395148067446079,0.24579127496783687,1934,-0.5305675127236826,35.9,MODERATE
2020-08-24,northeast,0.28661954044038024,-0.015996783972943573,1934,-0.49428880936652525,53.8,HIGH
2020-10-12,northeast,0.331052608307236,-0.139994781108704,1934,-0.4622927495414115,64.2,HIGH
2020-10-26,northeast,0.5100443281964091,0.038996938780469115,1934,-0.47090093042452236,34.1,MODERATE
2020-11-02,northeast,0.5937325027600976,0.09186474501109998,1934,-0.4820254341784861,34.5,MODERATE
2020-11-09,northeast,0.7263426934499861,0.22447493570098853,1934,-0.48846895262758955,34.7,MODERATE
2020-11-16,northeast,0.7250225422701986,0.22315478452120097,1934,-0.48701693412115254,34.6,MODERATE
2020-11-23,northeast,0.8094272771620011,0.3075595194130035,1934,-0.5310015743670249,35.9,MODERATE
2020-11-30,northeast,0.4025325717744604,-0.09933518597453722,1934,-0.5176384826950247,55.2,HIGH
2020-12-21,northeast,0.7142277449948344,0.29622520587697637,1934,-0.5557166204323666,36.7,MODERATE
2020-12-28,northeast,0.5386761710698387,0.12067363195198061,1934,-0.5247596791004745,35.7,MODERATE
2021-01-04,northeast,0.714775573820371,0.25795295368745147,1934,-0.5465724026461438,36.4,MODERATE
2021-01-18,northeast,0.16386602679592557,-0.292956593336994,1934,-0.620701824260049,98.6,CRITICAL
2021-01-25,northeast,0.7191068953823083,0.26228427524938874,1934,-0.5594344841804818,36.8,MODERATE
2021-02-01,northeast,0.5671718233904535,0.23615910750462688,1934,-0.5016789705763218,35.1,MODERATE
2021-02-08,northeast,0.28415720826357777,-0.046855507622248826,1934,-0.48348646218643493,57.4,HIGH
2021-02-15,northeast,0.49178428104721966,0.16077156516139307,1934,-0.4853565933672378,35.2,MODERATE
