date,zone,ndvi,ndvi_seasonal_dev,fire_count,anomaly_score,risk_score,risk_level
2019-12-30,central_india,0.4641516221363389,0.1311244354192342,1722,-0.5900297481724797,40.6,MODERATE
2020-01-13,central_india,0.4052639461957759,0.06765670893835168,1722,-0.5062615911635615,42.8,MODERATE
2020-01-20,central_india,0.4180060896172726,0.0803988523598484,1722,-0.49542735031647644,41.4,MODERATE
2020-02-03,central_india,0.45898241536351253,0.13397523430859343,1722,-0.4933636794013599,38.1,MODERATE
2020-02-10,central_india,0.4539376057048515,0.12893042464993237,1722,-0.4989414487786124,38.7,MODERATE
2020-02-17,central_india,0.37791668343712986,0.05290950238221076,1722,-0.49330511515687836,44.6,MODERATE
2020-03-02,central_india,0.4538662096248082,0.2189636837041851,1722,-0.5158832156647071,39.2,MODERATE
2020-03-09,central_india,0.19659171344477314,-0.03831081247585,1722,-0.5339207877685055,64.9,HIGH
2020-03-30,central_india,0.37760164309741584,0.1426991171767927,1722,-0.4844008010508711,44.3,MODERATE
2020-04-06,central_india,0.27180118123672337,0.04892825612968696,1722,-0.46158614900367817,52.1,HIGH
2020-04-27,central_india,0.15522867924221004,-0.06764424586482637,1722,-0.47756937393318927,67.4,HIGH
2020-05-04,central_india,0.38567209458692087,0.13005693281282354,1722,-0.4954618286236409,44.0,MODERATE
2020-05-11,central_india,0.4830679882814062,0.22745282650730886,1722,-0.5121497010341516,36.7,MODERATE
2020-06-08,central_india,0.4135903924853114,0.17656804475469073,1722,-0.4955491043795761,41.8,MODERATE
2020-09-21,central_india,0.46199696736839807,0.020416166021212212,1722,-0.4678965752250073,37.1,MODERATE
2020-10-19,central_india,0.5220600778378559,0.11889397279621505,1722,-0.4757637396345646,34.3,MODERATE
2020-10-26,central_india,0.6504800487066182,0.2473139436649774,1722,-0.5872586406583494,37.6,MODERATE
2020-11-09,central_india,0.5851931533488913,0.21599099403819194,1722,-0.5622164837559133,36.9,MODERATE
2020-11-16,central_india,0.19033552181085342,-0.17886663749984597,1722,-0.5874025097423895,83.9,CRITICAL
2020-11-30,central_india,0.5338129278376212,0.16461076852692186,1722,-0.5454026897005679,36.4,MODERATE
2020-12-07,central_india,0.4501883316202997,0.11716114490319496,1722,-0.5235507756257433,39.7,MODERATE
2020-12-21,central_india,0.48799044747915127,0.15496326076204653,1722,-0.5304026581736111,36.9,MODERATE
